center,links,pi,title
"Centro Paulista de Oncologia, São Paulo, Brazil,Clínica AMO, Salvador, Brazil,Hospital Moinhos de Vento, Porto Alegre, Brazil,Hospital da PUC de Porto Alegre, Porto Alegre, Brazil,Rede D'Or, São Paulo, Brazil,Oncocentro, Belo Horizonte, Brazil,Hospital Universitário Onofre Lopes, Natal, Brazil,Hospital Sirio Libanes, São Paulo, Brazil,Rede D'Or, São Paulo, Brazil,Rede D'Or, São Paulo, Brazil,Instituto Oncoclínicas, São Paulo, Brazil,Instituto Oncoclínicas, São Paulo, Brazil,AC Camargo Cancer Center, São Paulo, Brazil",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01291-6/fulltext>>,"R. Peixoto,R. Peixoto,Affiliations,Centro Paulista de Oncologia, São Paulo, Brazil,Search for articles by this author,A. Coutinho,A. Coutinho,Affiliations,Clínica AMO, Salvador, Brazil,Search for articles by this author,R. Weschenfelder,R. Weschenfelder,Affiliations,Hospital Moinhos de Vento, Porto Alegre, Brazil,Search for articles by this author,G. Prolla,G. Prolla,Affiliations,Hospital da PUC de Porto Alegre, Porto Alegre, Brazil,Search for articles by this author,D. da Rocha Filho,D. da Rocha Filho,Affiliations,Rede D'Or, São Paulo, Brazil,Search for articles by this author,A. Andrade,A. Andrade,Affiliations,Oncocentro, Belo Horizonte, Brazil,Search for articles by this author,J. Rego,J. Rego,Affiliations,Hospital Universitário Onofre Lopes, Natal, Brazil,Search for articles by this author,G. Dos Santos Fernandes,G. Dos Santos Fernandes,Affiliations,Hospital Sirio Libanes, São Paulo, Brazil,Search for articles by this author,M. Crosara Teixeira,M. Crosara Teixeira,Affiliations,Rede D'Or, São Paulo, Brazil,Search for articles by this author,P. Hoff,P. Hoff,Affiliations,Rede D'Or, São Paulo, Brazil,Search for articles by this author,M. Costa e Silva,M. Costa e Silva,Affiliations,Instituto Oncoclínicas, São Paulo, Brazil,Search for articles by this author,R. Dienstmann,R. Dienstmann,Affiliations,Instituto Oncoclínicas, São Paulo, Brazil,Search for articles by this author,R. Riechelmann,R. Riechelmann,Affiliations,AC Camargo Cancer Center, São Paulo, Brazil,Search for articles by this author, ",P-47 5-fluorouracil bolus use in infusional regimens among oncologists: A survey by Brazilian Group of Gastrointestinal Tumors
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01290-4/fulltext>>,"Y. Pan,Y. Pan,Affiliations,Lianshui County People’s Hospital, Kangda college of Nanjing Medical University, Huai An, China,Search for articles by this author,W. Wang,W. Wang,Affiliations,Lianshui County People’s Hospital, Kangda college of Nanjing Medical University, Huai An, China,Search for articles by this author,H. Chen,H. Chen,Affiliations,Lianshui County People’s Hospital, Kangda college of Nanjing Medical University, Huai An, China,Search for articles by this author,R. Yu,R. Yu,Affiliations,Lianshui County People’s Hospital, Kangda college of Nanjing Medical University, Huai An, China,Search for articles by this author,J. Pu,J. Pu,Affiliations,Lianshui County People’s Hospital, Kangda college of Nanjing Medical University, Huai An, China,Search for articles by this author,Y. Liu,Y. Liu,Affiliations,Lianshui County People’s Hospital, Kangda college of Nanjing Medical University, Huai An, China,Search for articles by this author, ",P-46 Integrated transcriptomics and the exploration of cancer-promoting genes CDKN3 in esophageal squamous cell cancer
"The University of Texas MD Anderson Cancer Center, Houston, United States,National Cancer Center Hospital East, Kashiwa, Japan,Department of Gastroenterology and Gastrointestinal Oncology, National Cancer Center Hospital East, Kashiwa, Japan,University Hospitals Leuven, Leuven, Belgium,Department of Gastroenterology, Hepatology and Endocrinology, Hannover Medical School, Hannover, Niedersachsen, Germany,University of California, Los Angeles, Los Angeles, United States,Cancer Institute Hospital of Japanese Foundation for Cancer Research, Tokyo, Japan,City of Hope Comprehensive Cancer Center, Duarte, United States,Washington University School of Medicine, St. Louis, United States,Department of Clinical Oncology, Aichi Cancer Center Hospital, Nagoya, Japan,Department of Medical Oncology, Kindai University Faculty of Medicine, Osaka, Japan,Highlands Oncology Group, Rogers, United States,Daiichi Sankyo Inc., Basking Ridge, United States,Daiichi Sankyo Inc., Basking Ridge, United States,Daiichi Sankyo Inc., Basking Ridge, United States,Daiichi Sankyo Inc., Basking Ridge, United States,Daiichi Sankyo Inc., Basking Ridge, United States,University of Texas MD Anderson Cancer Center, Houston, United States",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01289-8/fulltext>>,"K. Raghav,K. Raghav,Affiliations,The University of Texas MD Anderson Cancer Center, Houston, United States,Search for articles by this author,T. Yoshino,T. Yoshino,Affiliations,National Cancer Center Hospital East, Kashiwa, Japan,Search for articles by this author,H. Taniguchi,H. Taniguchi,Affiliations,Department of Gastroenterology and Gastrointestinal Oncology, National Cancer Center Hospital East, Kashiwa, Japan,Search for articles by this author,S. Tejpar,S. Tejpar,Affiliations,University Hospitals Leuven, Leuven, Belgium,Search for articles by this author,A. Vogel,A. Vogel,Affiliations,Department of Gastroenterology, Hepatology and Endocrinology, Hannover Medical School, Hannover, Niedersachsen, Germany,Search for articles by this author,Z. Wainberg,Z. Wainberg,Affiliations,University of California, Los Angeles, Los Angeles, United States,Search for articles by this author,K. Yamaguchi,K. Yamaguchi,Affiliations,Cancer Institute Hospital of Japanese Foundation for Cancer Research, Tokyo, Japan,Search for articles by this author,M. Fakih,M. Fakih,Affiliations,City of Hope Comprehensive Cancer Center, Duarte, United States,Search for articles by this author,K. Pedersen,K. Pedersen,Affiliations,Washington University School of Medicine, St. Louis, United States,Search for articles by this author,K. Bando,K. Bando,Affiliations,Department of Clinical Oncology, Aichi Cancer Center Hospital, Nagoya, Japan,Search for articles by this author,H. Kawakami,H. Kawakami,Affiliations,Department of Medical Oncology, Kindai University Faculty of Medicine, Osaka, Japan,Search for articles by this author,J. Beck,J. Beck,Affiliations,Highlands Oncology Group, Rogers, United States,Search for articles by this author,M. Kanai,M. Kanai,Affiliations,Daiichi Sankyo Inc., Basking Ridge, United States,Search for articles by this author,Y. Liu,Y. Liu,Affiliations,Daiichi Sankyo Inc., Basking Ridge, United States,Search for articles by this author,S. Mekan,S. Mekan,Affiliations,Daiichi Sankyo Inc., Basking Ridge, United States,Search for articles by this author,G. Pudussery,G. Pudussery,Affiliations,Daiichi Sankyo Inc., Basking Ridge, United States,Search for articles by this author,Y. Qiu,Y. Qiu,Affiliations,Daiichi Sankyo Inc., Basking Ridge, United States,Search for articles by this author,S. Kopetz,S. Kopetz,Affiliations,University of Texas MD Anderson Cancer Center, Houston, United States,Search for articles by this author, ","P-45 An open-label, phase 2 study of patritumab deruxtecan in patients with previously treated advanced/metastatic colorectal cancer"
"Universidad Autonoma de Barcelona, Barcelona, Spain,Universidad Autonoma de Barcelona, Barcelona, Spain,Universidad de Costa Rica, San José, Costa Rica",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01287-4/fulltext>>,"A. Ramos-Esquivel,A. Ramos-Esquivel,Affiliations,Universidad Autonoma de Barcelona, Barcelona, Spain,Search for articles by this author,M. Valle,M. Valle,Affiliations,Universidad Autonoma de Barcelona, Barcelona, Spain,Search for articles by this author,R. Chinchilla-Monge,R. Chinchilla-Monge,Affiliations,Universidad de Costa Rica, San José, Costa Rica,Search for articles by this author, ",P-43 C677T and A1298C MTHFR gene polymorphisms and response to fluoropyrimidine-based chemotherapy in mestizo patients with metastatic colorectal cancer
"Azienda Ospedaliera San Carlo, Potenza, Italy,UOC Oncologia Medica San Giovanni Calibita Fatebenefratelli, Rome, Italy,Istituto Nazionale per lo Studio e la Cura dei Tumori “Fondazione Giovanni Pascale”, IRCCS di Napoli, Naples, Italy,Fondazione IRCCS Policlinico S. Matteo, Pavia, Italy,Regina Elena Cancer Institute, Rome, Italy,Department of Oncology, University and General Hospital, Udine, Italy,Azienda ULSS 8 Berica, Vicenza, Italy,Università degli Studi di Palermo, Palermo, Italy,University of Naples Federico II, Department of Clinical Medicine and Surgery, Naples, Italy,Casa di Cura Macchiarella, Palermo, Italy,Ospedale Garibaldi Nesima, Catania, Italy,University Hospital of Parma - Azienda USL-IRCCS di Reggio Emilia, Parma, Italy,AO Carlo Poma, Mantova, Italy,AO San Pio, Benevento, Italy,Medi Service, Genova, Italy",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01286-2/fulltext>>,"G. Rosati,G. Rosati,Affiliations,Azienda Ospedaliera San Carlo, Potenza, Italy,Search for articles by this author,D. Corsi,D. Corsi,Affiliations,UOC Oncologia Medica San Giovanni Calibita Fatebenefratelli, Rome, Italy,Search for articles by this author,A. Avallone,A. Avallone,Affiliations,Istituto Nazionale per lo Studio e la Cura dei Tumori “Fondazione Giovanni Pascale”, IRCCS di Napoli, Naples, Italy,Search for articles by this author,S. Brugnatelli,S. Brugnatelli,Affiliations,Fondazione IRCCS Policlinico S. Matteo, Pavia, Italy,Search for articles by this author,E. Dell'Aquila,E. Dell'Aquila,Affiliations,Regina Elena Cancer Institute, Rome, Italy,Search for articles by this author,N. Pella,N. Pella,Affiliations,Department of Oncology, University and General Hospital, Udine, Italy,Search for articles by this author,A. Cappetta,A. Cappetta,Affiliations,Azienda ULSS 8 Berica, Vicenza, Italy,Search for articles by this author,G. Cicero,G. Cicero,Affiliations,Università degli Studi di Palermo, Palermo, Italy,Search for articles by this author,C. Carlomagno,C. Carlomagno,Affiliations,University of Naples Federico II, Department of Clinical Medicine and Surgery, Naples, Italy,Search for articles by this author,A. Colombo,A. Colombo,Affiliations,Casa di Cura Macchiarella, Palermo, Italy,Search for articles by this author,S. Rapisardi,S. Rapisardi,Affiliations,Ospedale Garibaldi Nesima, Catania, Italy,Search for articles by this author,C. Pinto,C. Pinto,Affiliations,University Hospital of Parma - Azienda USL-IRCCS di Reggio Emilia, Parma, Italy,Search for articles by this author,M. Cantore,M. Cantore,Affiliations,AO Carlo Poma, Mantova, Italy,Search for articles by this author,D. Germano,D. Germano,Affiliations,AO San Pio, Benevento, Italy,Search for articles by this author,G. Reggiardo,G. Reggiardo,Affiliations,Medi Service, Genova, Italy,Search for articles by this author, ",P-42 Reduced-dose of doublet chemotherapy combined with anti-EGFR antibodies as treatment option in vulnerable older patients with metastatic colorectal cancer: A retrospective cohort study
"Department of Oncology and Hematology, Division of Oncology, University of Modena and Reggio Emilia, Modena, Italy,San Raffaele Hospital, Milan, Italy",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01284-9/fulltext>>,"M. Rimini,M. Rimini,Affiliations,Department of Oncology and Hematology, Division of Oncology, University of Modena and Reggio Emilia, Modena, Italy,Search for articles by this author,A. Casadei Gardini,A. Casadei Gardini,Affiliations,San Raffaele Hospital, Milan, Italy,Search for articles by this author, ",P-40 Lenvatinib versus sorafenib as first-line treatment in hepatocellular carcinoma: A multi-institutional matched case-control study
"Mayo Clinic Phoenix, Phoenix, United States,Seagen Inc., Bothell, United States,Seagen Inc., Bothell, United States,Department of Gastroenterology and Gastrointestinal Oncology, National Cancer Center Hospital East, Kashiwa, Japan",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01281-3/fulltext>>,"T. Bekaii-Saab,T. Bekaii-Saab,Affiliations,Mayo Clinic Phoenix, Phoenix, United States,Search for articles by this author,V. Kang,V. Kang,Affiliations,Seagen Inc., Bothell, United States,Search for articles by this author,L. Walker,L. Walker,Affiliations,Seagen Inc., Bothell, United States,Search for articles by this author,Y. Nakamura,Y. Nakamura,Affiliations,Department of Gastroenterology and Gastrointestinal Oncology, National Cancer Center Hospital East, Kashiwa, Japan,Search for articles by this author, ",P-37 SGNTUC-019: Phase 2 basket study of tucatinib and trastuzumab in previously treated solid tumors with HER2 alterations: Biliary tract cancer cohort (trial in progress)
"Servier Russia, Moscow, Russia,Semantic Hub, Moscow, Russia,Semantic Hub, Moscow, Russia,Servier Russia, Moscow, Russia,Servier Russia, Moscow, Russia,Servier Russia, Moscow, Russia,Servier Russia, Moscow, Russia,Servier Russia, Moscow, Russia",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01282-5/fulltext>>,"Y. Khomitskaya,Y. Khomitskaya,Affiliations,Servier Russia, Moscow, Russia,Search for articles by this author,A. Paleeva,A. Paleeva,Affiliations,Semantic Hub, Moscow, Russia,Search for articles by this author,A. Ivankov,A. Ivankov,Affiliations,Semantic Hub, Moscow, Russia,Search for articles by this author,E. Shulepina,E. Shulepina,Affiliations,Servier Russia, Moscow, Russia,Search for articles by this author,N. Korovkina,N. Korovkina,Affiliations,Servier Russia, Moscow, Russia,Search for articles by this author,N. Saburkina,N. Saburkina,Affiliations,Servier Russia, Moscow, Russia,Search for articles by this author,A. Grishin,A. Grishin,Affiliations,Servier Russia, Moscow, Russia,Search for articles by this author,A. Krotkevich,A. Krotkevich,Affiliations,Servier Russia, Moscow, Russia,Search for articles by this author, ",P-38 Unmet needs and concerns of Russian patients with CRC: Analysis of Russian internet postings
"Department of Oncology and Hematology, Division of Oncology, University of Modena and Reggio Emilia, Modena, Italy,San Raffaele Hospital, Milan, Italy",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01283-7/fulltext>>,"M. Rimini,M. Rimini,Affiliations,Department of Oncology and Hematology, Division of Oncology, University of Modena and Reggio Emilia, Modena, Italy,Search for articles by this author,A. Casadei Gardini,A. Casadei Gardini,Affiliations,San Raffaele Hospital, Milan, Italy,Search for articles by this author, ",P-39 The role of the prognostic nutritional index in predicting survival in advanced hepatocellular carcinoma treated with regorafenib
"University Hospitals Dorset, Bournemouth, United Kingdom,Clinical University Hospital, Valladolid, Spain",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01280-1/fulltext>>,"E. Una Cidon,E. Una Cidon,Affiliations,University Hospitals Dorset, Bournemouth, United Kingdom,Search for articles by this author,P. Alonso,P. Alonso,Affiliations,Clinical University Hospital, Valladolid, Spain,Search for articles by this author, ",P-36 Pancreatic cancer in times of the pandemic
"Complejo Hospitalario Universitario, A Coruña, Spain,Complexo Universitario Hospitalario de Pontevedra, Pontevedra, Spain,Complexo Universitario Hospitalario de Ourense, Ourense, Spain,Hospital Universitario Lucas Augusti, Lugo, Spain,Hospital Alvaro Cunqueiro, Vigo, Spain,Translational Medical Oncology Group, Oncomet, Universitary Hospital, Santiago de Compostela, Galicia, Spain,University Hospital A Coruña, A Coruña, Spain,Hospital Universitario Lucus Augusti, Lugo, Spain,Complejo Hospitalario Universitario de Ourense, Ourense, Spain,Hospital Alvaro Cunqueiro, Vigo, Spain,University Hospital A Coruña, A Coruña, Spain,Medical Oncology Department & Oncomet Group, University Clinical Hospital of Santiago de Compostela, Health Research Institute of Santiago (IDIS), CIBERONC, Santiago de Compostela, Spain,University Hospital A Coruña, A Coruña, Spain,Hospital POVISA, Vigo, Spain,Centro Oncológico de Galicia, A Coruña, Spain",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01278-3/fulltext>>,"N. Martínez Lago,N. Martínez Lago,Affiliations,Complejo Hospitalario Universitario, A Coruña, Spain,Search for articles by this author,A. Cousillas Castiñeiras,A. Cousillas Castiñeiras,Affiliations,Complexo Universitario Hospitalario de Pontevedra, Pontevedra, Spain,Search for articles by this author,A. Fernández Montes,A. Fernández Montes,Affiliations,Complexo Universitario Hospitalario de Ourense, Ourense, Spain,Search for articles by this author,B. Carnero Lopez,B. Carnero Lopez,Affiliations,Hospital Universitario Lucas Augusti, Lugo, Spain,Search for articles by this author,P. Gonzalez Villarroel,P. Gonzalez Villarroel,Affiliations,Hospital Alvaro Cunqueiro, Vigo, Spain,Search for articles by this author,F. Vázquez-Rivera,F. Vázquez-Rivera,Affiliations,Translational Medical Oncology Group, Oncomet, Universitary Hospital, Santiago de Compostela, Galicia, Spain,Search for articles by this author,B. Alonso de Castro,B. Alonso de Castro,Affiliations,University Hospital A Coruña, A Coruña, Spain,Search for articles by this author,B. Gonzalez,B. Gonzalez,Affiliations,Hospital Universitario Lucus Augusti, Lugo, Spain,Search for articles by this author,M. Salgado Fernandez,M. Salgado Fernandez,Affiliations,Complejo Hospitalario Universitario de Ourense, Ourense, Spain,Search for articles by this author,E. Gallardo Martin,E. Gallardo Martin,Affiliations,Hospital Alvaro Cunqueiro, Vigo, Spain,Search for articles by this author,C. Reboredo Rendo,C. Reboredo Rendo,Affiliations,University Hospital A Coruña, A Coruña, Spain,Search for articles by this author,M. Mateos Gonzalez,M. Mateos Gonzalez,Affiliations,Medical Oncology Department & Oncomet Group, University Clinical Hospital of Santiago de Compostela, Health Research Institute of Santiago (IDIS), CIBERONC, Santiago de Compostela, Spain,Search for articles by this author,J. de la Cámara Gomez,J. de la Cámara Gomez,Affiliations,University Hospital A Coruña, A Coruña, Spain,Search for articles by this author,C. Romero Reinoso,C. Romero Reinoso,Affiliations,Hospital POVISA, Vigo, Spain,Search for articles by this author,J. Méndez Méndez,J. Méndez Méndez,Affiliations,Centro Oncológico de Galicia, A Coruña, Spain,Search for articles by this author, ",P-34 Real-world efficacy and safety of immune checkpoint inhibitors in microsatellite unstable or mismatch repair deficient gastrointestinal tumors
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01277-1/fulltext>>,"M. Bolaños Naranjo,M. Bolaños Naranjo,Affiliations,Hospital Juan Ramón Jiménez, Huelva, Spain,Search for articles by this author,L. Sanchez Escudero,L. Sanchez Escudero,Affiliations,Hospital Juan Ramón Jiménez, Huelva, Spain,Search for articles by this author,M. Rodríguez Garcés,M. Rodríguez Garcés,Affiliations,Hospital Juan Ramón Jiménez, Huelva, Spain,Search for articles by this author,V. Aviñó Tarazona,V. Aviñó Tarazona,Affiliations,Hospital Juan Ramón Jiménez, Huelva, Spain,Search for articles by this author, ",P-33 Results of initial DPYD screening for cancer patients receiving fluoropyrimidines
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01276-X/fulltext>>,"B. Ida Bagus,B. Ida Bagus,Affiliations,Department of Surgery, Sebelas Maret University, Surakarta, Indonesia,Search for articles by this author, ",P-32 SARS-CoV-2 pandemic and delayed presentation of gastrointestinal cancer patients: A retrospective evaluation and the impact on clinical outcome
"Complejo Hospitalario Universitario, A Coruña, Spain,University Hospital A Coruña, A Coruña, Spain,Complejo Hospitalario Universitario de Santiago, Santiago de Compostela, A Coruña, Spain,University Hospital A Coruña, A Coruña, Spain,University Hospital A Coruña, A Coruña, Spain,Complejo Hospitalario Universitario A Coruña, Instituto Investigación Biomédica INIBIC, A Coruña, Spain,University Hospital A Coruña, A Coruña, Spain,University Hospital A Coruña, A Coruña, Spain,University Hospital A Coruña, A Coruña, Spain,University Hospital A Coruña, A Coruña, Spain,University Hospital A Coruña, A Coruña, Spain",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01275-8/fulltext>>,"N. Martínez Lago,N. Martínez Lago,Affiliations,Complejo Hospitalario Universitario, A Coruña, Spain,Search for articles by this author,B. Alonso de Castro,B. Alonso de Castro,Affiliations,University Hospital A Coruña, A Coruña, Spain,Search for articles by this author,R. Varela Ponte,R. Varela Ponte,Affiliations,Complejo Hospitalario Universitario de Santiago, Santiago de Compostela, A Coruña, Spain,Search for articles by this author,C. Reboredo Rendo,C. Reboredo Rendo,Affiliations,University Hospital A Coruña, A Coruña, Spain,Search for articles by this author,M. Gomez-Randulfe Rodriguez,M. Gomez-Randulfe Rodriguez,Affiliations,University Hospital A Coruña, A Coruña, Spain,Search for articles by this author,B. Graña Suarez,B. Graña Suarez,Affiliations,Complejo Hospitalario Universitario A Coruña, Instituto Investigación Biomédica INIBIC, A Coruña, Spain,Search for articles by this author,J. de la cámara gomez,J. de la cámara gomez,Affiliations,University Hospital A Coruña, A Coruña, Spain,Search for articles by this author,M. Mateos Salvador,M. Mateos Salvador,Affiliations,University Hospital A Coruña, A Coruña, Spain,Search for articles by this author,F. Busto Fernandez,F. Busto Fernandez,Affiliations,University Hospital A Coruña, A Coruña, Spain,Search for articles by this author,T. Calleja Chucla,T. Calleja Chucla,Affiliations,University Hospital A Coruña, A Coruña, Spain,Search for articles by this author,M. Reboredo-Lopez,M. Reboredo-Lopez,Affiliations,University Hospital A Coruña, A Coruña, Spain,Search for articles by this author, ",P-31 Real-world efficacy and safety of trifluridine/tipiracil plus bevacizumab for patients with metastatic colorectal cancer refractory to standard therapies
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01274-6/fulltext>>,"E. Uña Cidón,E. Uña Cidón,Search for articles by this author,P. Alonso,P. Alonso,Search for articles by this author, ",P-30 Is vitamin D status known in patients with advanced pancreatic adenocarcinoma?
"Department of Gastroenterology, Osaka Medical College, Takatsuki, Japan,Cancer Chemotherapy Center, Osaka Medical Collage Hospital, Tatatsuki, Japan,Cancer Chemotherapy Center, Osaka Medical Collage Hospital, Tatatsuki, Japan,Cancer Chemotherapy Center, Osaka Medical Collage Hospital, Tatatsuki, Japan,Cancer Chemotherapy Center, Osaka Medical Collage Hospital, Tatatsuki, Japan,Cancer Chemotherapy Center, Osaka Medical Collage Hospital, Tatatsuki, Japan,Cancer Chemotherapy Center, Osaka Medical Collage Hospital, Tatatsuki, Japan,Department of General and Gastroenterological Surgery, Osaka Medical Collage, Takatsuki, Japan,Department of General and Gastroenterological Surgery, Osaka Medical Collage, Takatsuki, Japan,Department of General and Gastroenterological Surgery, Osaka Medical Collage, Takatsuki, Japan,Department of General and Gastroenterological Surgery, Osaka Medical Collage, Takatsuki, Japan,Department of General and Gastroenterological Surgery, Osaka Medical Collage, Takatsuki, Japan,Department of General and Gastroenterological Surgery, Osaka Medical Collage, Takatsuki, Japan,Department of General and Gastroenterological Surgery, Osaka Medical Collage, Takatsuki, Japan,Department of Gastroenterology, Osaka Medical College, Takatsuki, Japan",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01271-0/fulltext>>,"N. Sakaguchi,N. Sakaguchi,Affiliations,Department of Gastroenterology, Osaka Medical College, Takatsuki, Japan,Search for articles by this author,T. Terazawa,T. Terazawa,Affiliations,Cancer Chemotherapy Center, Osaka Medical Collage Hospital, Tatatsuki, Japan,Search for articles by this author,Y. Ishizuka,Y. Ishizuka,Affiliations,Cancer Chemotherapy Center, Osaka Medical Collage Hospital, Tatatsuki, Japan,Search for articles by this author,H. Kodama,H. Kodama,Affiliations,Cancer Chemotherapy Center, Osaka Medical Collage Hospital, Tatatsuki, Japan,Search for articles by this author,T. Miyamoto,T. Miyamoto,Affiliations,Cancer Chemotherapy Center, Osaka Medical Collage Hospital, Tatatsuki, Japan,Search for articles by this author,F. Shimamoto,F. Shimamoto,Affiliations,Cancer Chemotherapy Center, Osaka Medical Collage Hospital, Tatatsuki, Japan,Search for articles by this author,M. Goto,M. Goto,Affiliations,Cancer Chemotherapy Center, Osaka Medical Collage Hospital, Tatatsuki, Japan,Search for articles by this author,K. Izuhara,K. Izuhara,Affiliations,Department of General and Gastroenterological Surgery, Osaka Medical Collage, Takatsuki, Japan,Search for articles by this author,H. Hamamoto,H. Hamamoto,Affiliations,Department of General and Gastroenterological Surgery, Osaka Medical Collage, Takatsuki, Japan,Search for articles by this author,W. Osumi,W. Osumi,Affiliations,Department of General and Gastroenterological Surgery, Osaka Medical Collage, Takatsuki, Japan,Search for articles by this author,M. Yamamoto,M. Yamamoto,Affiliations,Department of General and Gastroenterological Surgery, Osaka Medical Collage, Takatsuki, Japan,Search for articles by this author,K. Tanaka,K. Tanaka,Affiliations,Department of General and Gastroenterological Surgery, Osaka Medical Collage, Takatsuki, Japan,Search for articles by this author,J. Okuda,J. Okuda,Affiliations,Department of General and Gastroenterological Surgery, Osaka Medical Collage, Takatsuki, Japan,Search for articles by this author,K. Uchiyama,K. Uchiyama,Affiliations,Department of General and Gastroenterological Surgery, Osaka Medical Collage, Takatsuki, Japan,Search for articles by this author,K. Higuchi,K. Higuchi,Affiliations,Department of Gastroenterology, Osaka Medical College, Takatsuki, Japan,Search for articles by this author, ",P-27 The efficacy and safety of XELOX/SOX plus bevacizumab as neoadjuvant chemotherapy for locally advanced rectal cancer compared with XELOX/SOX: A retrospective study
