center,links,pi,title
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01273-4/fulltext>>,"M. Durlik,M. Durlik,Affiliations,Centre of Postgraduate Medical Education in Warsaw, Warsaw, Poland,Search for articles by this author,K. Kedzierska-Kapuza,K. Kedzierska-Kapuza,Affiliations,Centre of Postgraduate Medical Education in Warsaw, Warsaw, Poland,Search for articles by this author,K. Baumgart,K. Baumgart,Affiliations,Centre of Postgraduate Medical Education in Warsaw, Warsaw, Poland,Search for articles by this author,M. Nowak-Niezgoda,M. Nowak-Niezgoda,Affiliations,Centre of Postgraduate Medical Education in Warsaw, Warsaw, Poland,Search for articles by this author, ",P-29 Pancreatic cancer during the COVID-19 pandemic: A high-volume Polish centre experience
"Department of Clinical Oncology, Aichi Cancer Center Hospital, Nagoya, Japan,Department of Clinical Oncology, Aichi Cancer Center Hospital, Nagoya, Japan,University of California, Los Angeles, Los Angeles, United States,Department of Digestive Oncology, University Hospitals Leuven and KU Leuven, Leuven, Belgium,Cancer Institute Hospital of Japanese Foundation for Cancer Research, Tokyo, Japan,Eli Lilly Japan K.K., Kobe, Japan,Eli Lilly and Company, Indianapolis, United States,Eli Lilly and Company, Indianapolis, United States,Eli Lilly and Company, Indianapolis, United States,Eli Lilly and Company, Indianapolis, United States,Department of Clinical Oncology, Aichi Cancer Center Hospital, Nagoya, Japan",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01272-2/fulltext>>,"T. Ogata,T. Ogata,Affiliations,Department of Clinical Oncology, Aichi Cancer Center Hospital, Nagoya, Japan,Search for articles by this author,Y. Narita,Y. Narita,Affiliations,Department of Clinical Oncology, Aichi Cancer Center Hospital, Nagoya, Japan,Search for articles by this author,Z. Wainberg,Z. Wainberg,Affiliations,University of California, Los Angeles, Los Angeles, United States,Search for articles by this author,E. Van Cutsem,E. Van Cutsem,Affiliations,Department of Digestive Oncology, University Hospitals Leuven and KU Leuven, Leuven, Belgium,Search for articles by this author,K. Yamaguchi,K. Yamaguchi,Affiliations,Cancer Institute Hospital of Japanese Foundation for Cancer Research, Tokyo, Japan,Search for articles by this author,Y. Piao,Y. Piao,Affiliations,Eli Lilly Japan K.K., Kobe, Japan,Search for articles by this author,Y. Zhao,Y. Zhao,Affiliations,Eli Lilly and Company, Indianapolis, United States,Search for articles by this author,S. Wijayawardana,S. Wijayawardana,Affiliations,Eli Lilly and Company, Indianapolis, United States,Search for articles by this author,P. Abada,P. Abada,Affiliations,Eli Lilly and Company, Indianapolis, United States,Search for articles by this author,A. Chatterjee,A. Chatterjee,Affiliations,Eli Lilly and Company, Indianapolis, United States,Search for articles by this author,K. Muro,K. Muro,Affiliations,Department of Clinical Oncology, Aichi Cancer Center Hospital, Nagoya, Japan,Search for articles by this author, ",P-28 Exploratory analysis of patients with gastric/GEJ adenocarcinoma with or without liver metastasis from the phase 3 RAINBOW study
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01288-6/fulltext>>,"W. Wang,W. Wang,Affiliations,Lianshui County People’s Hospital, Kangda college of Nanjing Medical University, Huai An, China,Search for articles by this author,Y. Pan,Y. Pan,Affiliations,Lianshui County People’s Hospital, Kangda college of Nanjing Medical University, Huai An, China,Search for articles by this author,Z. He,Z. He,Affiliations,Lianshui County People’s Hospital, Kangda college of Nanjing Medical University, Huai An, China,Search for articles by this author,H. Chen,H. Chen,Affiliations,Lianshui County People’s Hospital, Kangda college of Nanjing Medical University, Huai An, China,Search for articles by this author,Y. Liu,Y. Liu,Affiliations,Lianshui County People’s Hospital, Kangda college of Nanjing Medical University, Huai An, China,Search for articles by this author,R. Yu,R. Yu,Affiliations,Lianshui County People’s Hospital, Kangda college of Nanjing Medical University, Huai An, China,Search for articles by this author,J. Pu,J. Pu,Affiliations,Lianshui County People’s Hospital, Kangda college of Nanjing Medical University, Huai An, China,Search for articles by this author, ",P-44 Expression and clinical significance of B cell translocation gene 2 in esophageal squamous cell carcinoma
"San Raffaele Hospital, Milan, Italy,Humanitas University, Pieve Emanuele, Italy; IRCCS Humanitas Research Hospital, Rozzano, Italy,Asan Medical Centre, University of Ulsan, Seoul, South Korea,Medical Oncology Unit 1, Department of Clinical and Experimental Oncology, Istituto Oncologico Veneto – IRCCS, Padua, Italy,University of Bologna, Bologna, Italy",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01270-9/fulltext>>,"A. Casadei Gardini,A. Casadei Gardini,Affiliations,San Raffaele Hospital, Milan, Italy,Search for articles by this author,L. Rimassa,L. Rimassa,Affiliations,Humanitas University, Pieve Emanuele, Italy; IRCCS Humanitas Research Hospital, Rozzano, Italy,Search for articles by this author,C. Yoo,C. Yoo,Affiliations,Asan Medical Centre, University of Ulsan, Seoul, South Korea,Search for articles by this author,S. Lonardi,S. Lonardi,Affiliations,Medical Oncology Unit 1, Department of Clinical and Experimental Oncology, Istituto Oncologico Veneto – IRCCS, Padua, Italy,Search for articles by this author,A. Cucchetti,A. Cucchetti,Affiliations,University of Bologna, Bologna, Italy,Search for articles by this author, ",P-26 Regorafenib versus cabozantinib as second-line treatment after sorafenib for unresectable hepatocellular carcinoma: Matching-adjusted indirect comparison analysis
"University College London Hospital, London, United Kingdom,Guy's and St Thomas' NHS Foundation Trust, London, United Kingdom,Royal Free London NHS Foundation Trust, London, United Kingdom",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01269-2/fulltext>>,"M. Sha,M. Sha,Affiliations,University College London Hospital, London, United Kingdom,Search for articles by this author,B. Kunduzi,B. Kunduzi,Affiliations,Guy's and St Thomas' NHS Foundation Trust, London, United Kingdom,Search for articles by this author,S. Froghi,S. Froghi,Affiliations,Royal Free London NHS Foundation Trust, London, United Kingdom,Search for articles by this author, ",P-25 A review of circulating exosomal biomarkers in the diagnosis of pancreatic cancer
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01268-0/fulltext>>,"P. Bhargava,P. Bhargava,Affiliations,Tata Memorial Hospital, Mumbai, India,Search for articles by this author,V. Ostwal,V. Ostwal,Affiliations,Tata Memorial Hospital, Mumbai, India,Search for articles by this author,A. Ramaswamy,A. Ramaswamy,Affiliations,Tata Memorial Hospital, Mumbai, India,Search for articles by this author,S. Srinivas,S. Srinivas,Affiliations,Tata Memorial Hospital, Mumbai, India,Search for articles by this author,S. Mandavkar,S. Mandavkar,Affiliations,Tata Memorial Hospital, Mumbai, India,Search for articles by this author,D. Naughane,D. Naughane,Affiliations,Tata Memorial Hospital, Mumbai, India,Search for articles by this author,V. Gota,V. Gota,Affiliations,Tata Memorial Hospital, Mumbai, India,Search for articles by this author,S. Patkar,S. Patkar,Affiliations,Tata Memorial Hospital, Mumbai, India,Search for articles by this author,M. Goel,M. Goel,Affiliations,Tata Memorial Hospital, Mumbai, India,Search for articles by this author,S. Banavali,S. Banavali,Affiliations,Tata Memorial Hospital, Mumbai, India,Search for articles by this author,N. Shetty,N. Shetty,Affiliations,Tata Memorial Hospital, Mumbai, India,Search for articles by this author, ",P-24 A prospective phase 1b dose de-escalation open-label clinical study to evaluate the safety and efficacy of sorafenib with metformin and atorvastatin in advanced hepatocellular carcinoma (SMASH)
"Zhejiang University School of Medicine, Hangzhou, China,The First Affiliated Hospital of ZheJiang University, Hangzhou, China,Zhejiang University School of Medicine, Hangzhou, China,Zhejiang University School of Medicine, Hangzhou, China,Zhejiang University School of Medicine, Hangzhou, China",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01285-0/fulltext>>,"F. Xu,F. Xu,Affiliations,Zhejiang University School of Medicine, Hangzhou, China,Search for articles by this author,X. Wu,X. Wu,Affiliations,The First Affiliated Hospital of ZheJiang University, Hangzhou, China,Search for articles by this author,J. Zhang,J. Zhang,Affiliations,Zhejiang University School of Medicine, Hangzhou, China,Search for articles by this author,S. Qian,S. Qian,Affiliations,Zhejiang University School of Medicine, Hangzhou, China,Search for articles by this author,L. Sun,L. Sun,Affiliations,Zhejiang University School of Medicine, Hangzhou, China,Search for articles by this author, ",P-41 Lipopolysaccharides promote metastasis via acceleration of glycolysis by the nuclear factor-κB/Snail/Hexokinase3 signaling axis in colorectal cancer
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01267-9/fulltext>>,"G. Searle,G. Searle,Affiliations,University Hospital of Coventry and Warwickshire, Coventry, United Kingdom,Search for articles by this author,A. Tripathy,A. Tripathy,Affiliations,University Hospital of Coventry and Warwickshire, Coventry, United Kingdom,Search for articles by this author,H. Tween,H. Tween,Affiliations,University Hospital of Coventry and Warwickshire, Coventry, United Kingdom,Search for articles by this author,S. Sothi,S. Sothi,Affiliations,University Hospital of Coventry and Warwickshire, Coventry, United Kingdom,Search for articles by this author,G. Marangoni,G. Marangoni,Affiliations,University Hospital of Coventry and Warwickshire, Coventry, United Kingdom,Search for articles by this author,J. Ahmad,J. Ahmad,Affiliations,University Hospital of Coventry and Warwickshire, Coventry, United Kingdom,Search for articles by this author,S. Khan,S. Khan,Affiliations,University Hospital of Coventry and Warwickshire, Coventry, United Kingdom,Search for articles by this author,F. Lam,F. Lam,Affiliations,University Hospital of Coventry and Warwickshire, Coventry, United Kingdom,Search for articles by this author,M. Scott-Brown,M. Scott-Brown,Affiliations,University Hospital of Coventry and Warwickshire, Coventry, United Kingdom,Search for articles by this author, ",P-23 Experience of concurrent chemoradiotherapy for pancreatic cancer in a large university hospital
"HealthCore Inc., Wilmington, Delaware, United States,Merck KGaA, Darmstadt, Germany,Pfizer Inc., New York, United States,HealthCore Inc., Wilmington, Delaware, United States,HealthCore Inc., Wilmington, Delaware, United States,HealthCore Inc., Wilmington, Delaware, United States,Merck KGaA, Darmstadt, Germany",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01265-5/fulltext>>,"D. Beachler,D. Beachler,Affiliations,HealthCore Inc., Wilmington, Delaware, United States,Search for articles by this author,F. Lamy,F. Lamy,Affiliations,Merck KGaA, Darmstadt, Germany,Search for articles by this author,F. Kolitsopoulos,F. Kolitsopoulos,Affiliations,Pfizer Inc., New York, United States,Search for articles by this author,J. Dinh,J. Dinh,Affiliations,HealthCore Inc., Wilmington, Delaware, United States,Search for articles by this author,A. Papazian,A. Papazian,Affiliations,HealthCore Inc., Wilmington, Delaware, United States,Search for articles by this author,A. Jamal-Allial,A. Jamal-Allial,Affiliations,HealthCore Inc., Wilmington, Delaware, United States,Search for articles by this author,P. Verpillat,P. Verpillat,Affiliations,Merck KGaA, Darmstadt, Germany,Search for articles by this author, ",P-21 Real-world outcomes in patients with advanced or metastatic gastric adenocarcinoma in the United States
"The Chinese University of Hong Kong, Shatin, Hong Kong, China,Chulabhorn Hospital, Bangkok, Thailand,National Cancer Center, Curie Oncology, Singapore, Singapore,National Cancer Centre Singapore, Singapore, Singapore,Chulabhorn Hospital, Bangkok, Thailand,National Cancer Centre, Singapore, Singapore,National University Cancer Institute Singapore, Singapore, Singapore,National University Cancer Institute Singapore, National University Health System, Singapore, Singapore,The Chinese University of Hong Kong, Shatin, Hong Kong, China,The Chinese University of Hong Kong, Shatin, Hong Kong, China,Chulabhorn Hospital, Bangkok, Thailand",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01263-1/fulltext>>,"S. Chan,S. Chan,Affiliations,The Chinese University of Hong Kong, Shatin, Hong Kong, China,Search for articles by this author,C. Chotipanich,C. Chotipanich,Affiliations,Chulabhorn Hospital, Bangkok, Thailand,Search for articles by this author,S. Choo,S. Choo,Affiliations,National Cancer Center, Curie Oncology, Singapore, Singapore,Search for articles by this author,S. Kwang,S. Kwang,Affiliations,National Cancer Centre Singapore, Singapore, Singapore,Search for articles by this author,A. Worakitsitisatorn,A. Worakitsitisatorn,Affiliations,Chulabhorn Hospital, Bangkok, Thailand,Search for articles by this author,D. Tai,D. Tai,Affiliations,National Cancer Centre, Singapore, Singapore,Search for articles by this author,W. Yong,W. Yong,Affiliations,National University Cancer Institute Singapore, Singapore, Singapore,Search for articles by this author,R. Sundar,R. Sundar,Affiliations,National University Cancer Institute Singapore, National University Health System, Singapore, Singapore,Search for articles by this author,L. Li,L. Li,Affiliations,The Chinese University of Hong Kong, Shatin, Hong Kong, China,Search for articles by this author,S. Yu,S. Yu,Affiliations,The Chinese University of Hong Kong, Shatin, Hong Kong, China,Search for articles by this author,P. Sungkasubun,P. Sungkasubun,Affiliations,Chulabhorn Hospital, Bangkok, Thailand,Search for articles by this author, ",P-19 A multicentred phase II clinical trial on yttrium 90-resin microspheres followed by gemcitabine-cisplatin for treatment of locally advanced intra-hepatic cholangiocarcinoma
"Sun Yat-sen University Cancer Center, Guangzhou, China,Department of Clinical Oncology, LKS Faculty of Medicine, The University of Hong Kong, Hong Kong, China,Sir Run Run Shaw Hospital, Zhejiang University, Hangzhou, China,Sun Yat-sen University Cancer Center, Guangzhou, China,Sir Run Run Shaw Hospital, Zhejiang University, Hangzhou, China,Sir Run Run Shaw Hospital, Zhejiang University, Hangzhou, China,Zai Lab (Shanghai) Co., Ltd., Shanghai, China,Zai Lab (Shanghai) Co., Ltd., Shanghai, China",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01262-X/fulltext>>,"R. Xu,R. Xu,Affiliations,Sun Yat-sen University Cancer Center, Guangzhou, China,Search for articles by this author,K. Lam,K. Lam,Affiliations,Department of Clinical Oncology, LKS Faculty of Medicine, The University of Hong Kong, Hong Kong, China,Search for articles by this author,H. Pan,H. Pan,Affiliations,Sir Run Run Shaw Hospital, Zhejiang University, Hangzhou, China,Search for articles by this author,M. Qiu,M. Qiu,Affiliations,Sun Yat-sen University Cancer Center, Guangzhou, China,Search for articles by this author,Y. Zheng,Y. Zheng,Affiliations,Sir Run Run Shaw Hospital, Zhejiang University, Hangzhou, China,Search for articles by this author,Z. Liu,Z. Liu,Affiliations,Sir Run Run Shaw Hospital, Zhejiang University, Hangzhou, China,Search for articles by this author,T. Tan,T. Tan,Affiliations,Zai Lab (Shanghai) Co., Ltd., Shanghai, China,Search for articles by this author,W. Hang,W. Hang,Affiliations,Zai Lab (Shanghai) Co., Ltd., Shanghai, China,Search for articles by this author, ",P-18 Phase Ib study of niraparib plus tebotelimab in patients with advanced or metastatic gastric cancer after prior treatment failure
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01260-6/fulltext>>,"M. Pavlovic,M. Pavlovic,Affiliations,University Hospital Center Sestre Milosrdnice, University Hospital for Tumors, Zagreb, Croatia,Search for articles by this author,P. Lepetic,P. Lepetic,Affiliations,University Hospital Center Sestre Milosrdnice, University Hospital for Tumors, Zagreb, Croatia,Search for articles by this author,L. Vazdar,L. Vazdar,Affiliations,University Hospital Center Sestre Milosrdnice, University Hospital for Tumors, Zagreb, Croatia,Search for articles by this author,P. Linaric,P. Linaric,Affiliations,University Hospital Center Sestre Milosrdnice, University Hospital for Tumors, Zagreb, Croatia,Search for articles by this author,A. Tecic Vuger,A. Tecic Vuger,Affiliations,University Hospital Center Sestre Milosrdnice, University Hospital for Tumors, Zagreb, Croatia,Search for articles by this author,R. Separovic,R. Separovic,Affiliations,University Hospital Center Sestre Milosrdnice, University Hospital for Tumors, Zagreb, Croatia,Search for articles by this author, ","P-16 How does reinduction of first-line chemotherapy in patients with metastatic colorectal cancer impact outcomes? Experience from the University Hospital for Tumors, Zagreb, Croatia"
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01261-8/fulltext>>,"J. Grewal,J. Grewal,Affiliations,Des Moines University, Des Moines, United States,Search for articles by this author,E. Berger,E. Berger,Affiliations,Des Moines University, Des Moines, United States,Search for articles by this author,J. Beaty,J. Beaty,Affiliations,Des Moines University, Des Moines, United States,Search for articles by this author, ",P-17 CT colonography: A minimally invasive screening option for colorectal cancer
"Research Institute of Internal and Preventive Medicine, Branch of the Institute of Cytology and Genetics, Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Russia,Research Institute of Internal and Preventive Medicine, Branch of the Institute of Cytology and Genetics, Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Russia,Rzhanov Institute of Semiconductor Physics, Siberian Branch of Russian Academy of Sciences, Novosibirsk, Russia,Boreskov Institute of Catalysis, Siberian Branch of Russian Academy of Sciences, Novosibirsk, Russia,Vorozhtsov Institute of Organic Chemistry, Siberian Branch of Russian Academy of Sciences, Novosibirsk, Russia,Novosibirsk State Technical University, Novosibirsk, Russia,University of Pennsylvania, Philadelphia, United States",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01259-X/fulltext>>,"M. Kruchinina,M. Kruchinina,Affiliations,Research Institute of Internal and Preventive Medicine, Branch of the Institute of Cytology and Genetics, Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Russia,Search for articles by this author,A. Gromov,A. Gromov,Affiliations,Research Institute of Internal and Preventive Medicine, Branch of the Institute of Cytology and Genetics, Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Russia,Search for articles by this author,V. Kruchinin,V. Kruchinin,Affiliations,Rzhanov Institute of Semiconductor Physics, Siberian Branch of Russian Academy of Sciences, Novosibirsk, Russia,Search for articles by this author,M. Shashkov,M. Shashkov,Affiliations,Boreskov Institute of Catalysis, Siberian Branch of Russian Academy of Sciences, Novosibirsk, Russia,Search for articles by this author,A. Sokolova,A. Sokolova,Affiliations,Vorozhtsov Institute of Organic Chemistry, Siberian Branch of Russian Academy of Sciences, Novosibirsk, Russia,Search for articles by this author,I. Yakovina,I. Yakovina,Affiliations,Novosibirsk State Technical University, Novosibirsk, Russia,Search for articles by this author,A. Shestov,A. Shestov,Affiliations,University of Pennsylvania, Philadelphia, United States,Search for articles by this author, ",P-15 Diagnostic potential of erythrocyte and serum fatty acids in spotting adenomatous polyps and identifying the early stages of colorectal cancer depending on tumor localization
"University of Oran 1, Oran, Algeria,University of Oran 1, Oran, Algeria,University of Oran 1, Oran, Algeria,University of Oran 1, Oran, Algeria,University of Oran 1, Oran, Algeria,University of Oran 1, Oran, Algeria,EHUO, Oran, Algeria",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01258-8/fulltext>>,"A. Bengueddach,A. Bengueddach,Affiliations,University of Oran 1, Oran, Algeria,Search for articles by this author,A. Tidjane,A. Tidjane,Affiliations,University of Oran 1, Oran, Algeria,Search for articles by this author,H. Kehili,H. Kehili,Affiliations,University of Oran 1, Oran, Algeria,Search for articles by this author,N. Boudjenan Serradj,N. Boudjenan Serradj,Affiliations,University of Oran 1, Oran, Algeria,Search for articles by this author,M. Kaid,M. Kaid,Affiliations,University of Oran 1, Oran, Algeria,Search for articles by this author,B. Tabeti,B. Tabeti,Affiliations,University of Oran 1, Oran, Algeria,Search for articles by this author,F. Bereksi Reguig,F. Bereksi Reguig,Affiliations,EHUO, Oran, Algeria,Search for articles by this author, ",P-14 The predictive value of alkaline phosphatase and lactate dehydrogenase for overall survival in patients with pancreatic cancer
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01257-6/fulltext>>,"C. Chayangsu,C. Chayangsu,Affiliations,Surin Hospital, Suranaree University of Technology, Surin, Thailand,Search for articles by this author, ",P-13 Efficacy of FOLFOX4 regimen with advanced hepatocellular carcinoma and prognostic factors for survival
"Azienda Ospedaliera SS. Antonio e Biagio e Cesare Arrigo, Alessandria, Italy,Fondazione IRCCS Ca' Granda - Ospedale Maggiore Policlinico, Milan, Italy,Fondazione IRCCS Ca' Granda - Ospedale Maggiore Policlinico, Milan, Italy,IRCCS Ospedale, San Raffaele Scientific Institute, Milan, Italy,IRCCS Ospedale, San Raffaele Scientific Institute, Milan, Italy,IRCCS Ospedale, San Raffaele Scientific Institute, Milan, Italy,Ospedale degli Infermi, Biella, Italy,Istituto Sacro Cuore Don Calabria, Negrar, Italy,Istituto Sacro Cuore Don Calabria, Negrar, Italy,San Giovanni-Addolorata Hospital, Rome, Italy,Ospedale San Francesco, Nuoro, Italy,Ospedale San Francesco, Nuoro, Italy,Ospedale San Francesco, Nuoro, Italy,Ospedale Civile Camposampiero, Camposampiero, Italy,Ospedale Civile Camposampiero, Camposampiero, Italy,Department of General Surgery, Morgagni-Pierantoni Hospital, Forlì, Italy,Department of General Surgery, Morgagni-Pierantoni Hospital, Forlì, Italy,Ente Ecclesiastico Ospedale Generale Regionale Miulli, Acquaviva delle Fonti, Italy,Ente Ecclesiastico Ospedale Generale Regionale Miulli, Acquaviva delle Fonti, Italy,Ente Ecclesiastico Ospedale Generale Regionale Miulli, Acquaviva delle Fonti, Italy,Azienda Ospedaliera SS. Antonio e Biagio e Cesare Arrigo, Alessandria, Italy",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01266-7/fulltext>>,"I. Monsellato,I. Monsellato,Affiliations,Azienda Ospedaliera SS. Antonio e Biagio e Cesare Arrigo, Alessandria, Italy,Search for articles by this author,E. Cassinotti,E. Cassinotti,Affiliations,Fondazione IRCCS Ca' Granda - Ospedale Maggiore Policlinico, Milan, Italy,Search for articles by this author,L. Boni,L. Boni,Affiliations,Fondazione IRCCS Ca' Granda - Ospedale Maggiore Policlinico, Milan, Italy,Search for articles by this author,U. Elmore,U. Elmore,Affiliations,IRCCS Ospedale, San Raffaele Scientific Institute, Milan, Italy,Search for articles by this author,R. Delpini,R. Delpini,Affiliations,IRCCS Ospedale, San Raffaele Scientific Institute, Milan, Italy,Search for articles by this author,R. Rosati,R. Rosati,Affiliations,IRCCS Ospedale, San Raffaele Scientific Institute, Milan, Italy,Search for articles by this author,R. Perinotti,R. Perinotti,Affiliations,Ospedale degli Infermi, Biella, Italy,Search for articles by this author,F. Alongi,F. Alongi,Affiliations,Istituto Sacro Cuore Don Calabria, Negrar, Italy,Search for articles by this author,G. Ruffo,G. Ruffo,Affiliations,Istituto Sacro Cuore Don Calabria, Negrar, Italy,Search for articles by this author,G. Pernazza,G. Pernazza,Affiliations,San Giovanni-Addolorata Hospital, Rome, Italy,Search for articles by this author,A. Cruccu,A. Cruccu,Affiliations,Ospedale San Francesco, Nuoro, Italy,Search for articles by this author,F. Pulighe,F. Pulighe,Affiliations,Ospedale San Francesco, Nuoro, Italy,Search for articles by this author,C. De Nisco,C. De Nisco,Affiliations,Ospedale San Francesco, Nuoro, Italy,Search for articles by this author,E. Morpurgo,E. Morpurgo,Affiliations,Ospedale Civile Camposampiero, Camposampiero, Italy,Search for articles by this author,T. Contardo,T. Contardo,Affiliations,Ospedale Civile Camposampiero, Camposampiero, Italy,Search for articles by this author,D. Cavaliere,D. Cavaliere,Affiliations,Department of General Surgery, Morgagni-Pierantoni Hospital, Forlì, Italy,Search for articles by this author,L. Solaini,L. Solaini,Affiliations,Department of General Surgery, Morgagni-Pierantoni Hospital, Forlì, Italy,Search for articles by this author,A. Surgo,A. Surgo,Affiliations,Ente Ecclesiastico Ospedale Generale Regionale Miulli, Acquaviva delle Fonti, Italy,Search for articles by this author,N. De Angelis,N. De Angelis,Affiliations,Ente Ecclesiastico Ospedale Generale Regionale Miulli, Acquaviva delle Fonti, Italy,Search for articles by this author,A. Fiorentino,A. Fiorentino,Affiliations,Ente Ecclesiastico Ospedale Generale Regionale Miulli, Acquaviva delle Fonti, Italy,Search for articles by this author,S. Orecchia,S. Orecchia,Affiliations,Azienda Ospedaliera SS. Antonio e Biagio e Cesare Arrigo, Alessandria, Italy,Search for articles by this author, ",P-22 Role of timing to laparoscopic or robotic surgery after neoadjuvant chemoradiotherapy for rectal cancer: The TiMiSNAR trial
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01264-3/fulltext>>,"A. Elmasry,A. Elmasry,Affiliations,University Hospitals of North Midlands NHS Trust, Stoke-on-Trent, United Kingdom,Search for articles by this author,C. Patel,C. Patel,Affiliations,University Hospitals of North Midlands NHS Trust, Stoke-on-Trent, United Kingdom,Search for articles by this author,Z. Lim,Z. Lim,Affiliations,University Hospitals of North Midlands NHS Trust, Stoke-on-Trent, United Kingdom,Search for articles by this author,S. Giridharan,S. Giridharan,Affiliations,University Hospitals of North Midlands NHS Trust, Stoke-on-Trent, United Kingdom,Search for articles by this author, ",P-20 Concurrent chemo-radiotherapy in anal squamous cell carcinomas: A 10-year retrospective review of a tertiary centre experience
